what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914738452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914783126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914794124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914796757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914798463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914800117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1564914804553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914806069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914814931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914828951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914830446
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.copyLineDown",1564914840456
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.copyLineDown",1564914840796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914851394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914852783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914861475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914862576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914865220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914867003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914868134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914869032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1564914891006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1564914898855
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.copyLineDown",1564914905584
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.copyLineDown",1564914906119
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1564914912480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1564914913469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1564914917790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1564914921201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1564914922488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1564914925517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1564914929361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914930983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914932447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1564914943894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1564914946222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1564914948808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1564914950737
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564914952036
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564914956628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914958523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914960333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1564914964922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1564914970859
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1564914972501
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564914982407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564914997331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915214513
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1564915220632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915233168
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564915245817
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564915245892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915245922
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564915249825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1564915250591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1564915251687
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1564915252905
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1564915253867
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1564915263115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915281411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915284377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915287500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915288380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915299109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915300285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915302106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915303451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1564915308143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1564915329620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1564915335275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915336217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915337477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1564915344435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915347982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915349617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915351014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915352792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915353769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1564915355409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1564915360782
